date,runoff
18980413,62.29696
18980414,56.350432
18980415,54.934592
18980416,51.819744
18980417,47.572224
18980418,44.740544
18980419,41.908864
18980420,37.661344
18980421,34.829664
18980422,31.997984
18980423,29.449472
18980424,26.90096
18980425,25.626704
18980426,30.582144
18980427,39.077184
18980428,57.766272
18980429,74.190016
18980430,72.774176
18980501,62.29696
18980502,50.403904
18980503,46.156384
18980504,38.510848
18980505,33.413824
18980506,30.582144
18980507,40.493024
18980508,63.7128
18980509,103.639488
18980510,116.382048
18980511,93.44544
18980512,68.243488
18980513,56.350432
18980514,54.934592
18980515,48.988064
18980516,44.740544
18980517,84.667232
18980518,128.275104
18980519,156.025568
18980520,140.16816
18980521,105.338496
18980522,80.419712
18980523,63.7128
18980524,71.358336
18980525,138.185984
18980526,180.378016
18980527,222.853216
18980528,245.789824
18980529,212.942336
18980530,142.150336
18980531,93.44544
18980601,80.419712
18980602,86.932576
18980603,69.659328
18980604,56.350432
18980605,40.493024
18980606,31.997984
18980607,26.90096
18980608,23.078192
18980609,20.671264
18980610,18.40592
18980611,16.28216
18980612,15.291072
18980613,13.308896
18980614,20.671264
18980615,15.291072
18980616,25.626704
18980617,44.740544
18980618,79.003872
18980619,75.889024
18980620,77.588032
18980621,96.843456
18980622,90.330592
18980623,74.190016
18980624,56.350432
18980625,41.908864
18980626,33.413824
18980627,26.90096
18980628,30.582144
18980629,33.413824
18980630,36.245504
18980701,24.352448
18980702,16.28216
18980703,14.299984
18980704,11.609888
18980705,10.901968
18980706,25.626704
18980707,111.001856
18980708,158.007744
18980709,152.061216
18980710,130.25728
18980711,184.625536
18980712,195.952256
18980713,173.865152
18980714,136.203808
18980715,118.364224
18980716,90.330592
18980717,72.774176
18980718,59.182112
18980719,57.766272
18980720,50.403904
18980721,57.766272
18980722,42.4752
18980723,37.661344
18980724,31.997984
18980725,29.449472
18980726,25.626704
18980727,26.90096
18980728,20.671264
18980729,19.538592
18980730,18.40592
18980731,18.40592
18980801,17.273248
18980802,28.883136
18980803,31.997984
18980804,54.934592
18980805,43.324704
18980806,30.582144
18980807,24.352448
18980808,22.0021536
18980809,18.40592
18980810,15.291072
18980811,14.299984
18980812,20.671264
18980813,28.175216
18980814,56.350432
18980815,57.766272
18980816,46.156384
18980817,31.997984
18980818,30.582144
18980819,28.175216
18980820,33.413824
18980821,74.190016
18980822,93.44544
18980823,85.516736
18980824,74.190016
18980825,77.588032
18980826,63.7128
18980827,37.661344
18980828,43.324704
18980829,62.29696
18980830,136.203808
18980831,138.185984
18980901,126.292928
18980902,90.330592
18980903,56.350432
18980904,43.324704
18980905,41.908864
18980906,37.661344
18980907,34.829664
18980908,28.175216
18980909,34.829664
18980910,43.324704
18980911,34.829664
18980912,23.078192
18980913,20.671264
18980914,18.40592
18980915,15.291072
18980916,13.308896
18980917,12.459392
18980918,11.609888
18980919,10.901968
18980920,10.901968
18980921,10.901968
18980922,10.194048
18980923,11.609888
18980924,65.12864
18980925,107.320672
18980926,88.631584
18980927,54.934592
18980928,37.661344
18980929,29.449472
18980930,28.175216
18981001,21.803936
18981002,17.273248
18981003,13.308896
18981004,17.273248
18981005,18.40592
18981006,19.538592
18981007,18.40592
18981008,17.273248
18981009,21.803936
18981010,20.671264
18981011,21.803936
18981012,20.671264
18981013,19.538592
18981014,16.28216
18981015,15.291072
18981016,13.308896
18981017,10.901968
18981018,12.459392
18981019,11.609888
18981020,34.829664
18981021,40.493024
18981022,37.661344
18981023,30.582144
18981024,25.626704
18981025,30.582144
18981026,26.90096
18981027,36.245504
18981028,33.413824
18981029,37.661344
18981030,36.245504
18981031,18.40592
18981101,23.078192
18981102,29.449472
18981103,30.582144
18981104,24.352448
18981105,23.078192
18981106,39.077184
18981107,33.413824
18981108,34.829664
18981109,36.245504
18981110,39.077184
18981111,30.582144
18981112,37.661344
18981113,20.671264
18981114,19.538592
18981115,21.803936
18981116,23.078192
18981117,28.175216
18981118,30.582144
18981119,33.413824
18981120,59.182112
18981121,68.243488
18981122,77.588032
18981123,59.182112
18981124,50.403904
18981125,46.156384
18981126,43.324704
18981127,43.324704
18981128,39.077184
18981129,40.493024
18981130,50.403904
18981201,65.12864
18981202,74.190016
18981203,72.774176
18981204,88.631584
18981205,130.25728
18981206,180.378016
18981207,215.20768
18981208,227.95024
18981209,186.89088
18981210,148.096864
18981211,101.94048
18981212,80.419712
18981213,69.659328
18981214,62.29696
18981215,56.350432
18981216,48.988064
18981217,46.156384
18981218,41.908864
18981219,43.324704
18981220,44.740544
18981221,50.403904
18981222,69.659328
18981223,80.419712
18981224,90.330592
18981225,85.516736
18981226,79.003872
18981227,69.659328
18981228,62.29696
18981229,57.766272
18981230,51.819744
18981231,47.572224
18990101,36.81184
18990102,35.396
18990103,39.64352
18990104,43.89104
18990105,41.05936
18990106,38.22768
18990107,39.64352
18990108,41.05936
18990109,39.64352
18990110,52.669248
18990111,39.64352
18990112,38.22768
18990113,43.89104
18990114,60.597952
18990115,96.560288
18990116,139.318656
18990117,174.431488
18990118,176.98
18990119,146.397856
18990120,127.991936
18990121,100.52464
18990122,79.28704
18990123,68.809824
18990124,62.29696
18990125,56.067264
18990126,54.368256
18990127,56.067264
18990128,58.898944
18990129,49.837568
18990130,51.253408
18990131,52.669248
18990201,86.649408
18990202,104.488992
18990203,127.991936
18990204,132.522624
18990205,141.584
18990206,227.100736
18990207,308.65312
18990208,385.10848
18990209,504.03904
18990210,594.6528
18990211,634.29632
18990212,594.6528
18990213,509.7024
18990214,368.1184
18990215,283.168
18990216,207.845312
18990217,210.393824
18990218,267.876928
18990219,342.63328
18990220,396.4352
18990221,506.87072
18990222,546.51424
18990223,563.50432
18990224,549.34592
18990225,506.87072
18990226,447.40544
18990227,373.78176
18990228,322.81152
18990301,291.66304
18990302,285.99968
18990303,300.15808
18990304,334.13824
18990305,328.47488
18990306,362.45504
18990307,373.78176
18990308,382.2768
18990309,376.61344
18990310,325.6432
18990311,260.231392
18990312,193.686912
18990313,143.849344
18990314,125.726592
18990315,162.8216
18990316,260.231392
18990317,334.13824
18990318,393.60352
18990319,447.40544
18990320,447.40544
18990321,413.42528
18990322,353.96
18990323,322.81152
18990324,257.68288
18990325,167.635456
18990326,134.787968
18990327,117.231552
18990328,110.718688
18990329,108.736512
18990330,119.213728
18990331,132.522624
18990401,134.787968
18990402,117.231552
18990403,104.488992
18990404,86.649408
18990405,100.52464
18990406,121.195904
18990407,141.584
18990408,207.845312
18990409,278.070976
18990410,328.47488
18990411,362.45504
18990412,373.78176
18990413,342.63328
18990414,275.522464
18990415,184.0592
18990416,121.195904
18990417,100.52464
18990418,84.9504
18990419,77.588032
18990420,70.508832
18990421,72.20784
18990422,68.809824
18990423,63.7128
18990424,57.483104
18990425,52.669248
18990426,49.837568
18990427,52.669248
18990428,70.508832
18990429,110.718688
18990430,84.9504
18990501,57.483104
18990502,49.837568
18990503,46.72272
18990504,48.13856
18990505,46.72272
18990506,45.30688
18990507,42.4752
18990508,41.05936
18990509,42.4752
18990510,43.89104
18990511,45.30688
18990512,42.4752
18990513,41.05936
18990514,52.669248
18990515,48.13856
18990516,52.669248
18990517,43.89104
18990518,35.396
18990519,31.431648
18990520,29.166304
18990521,31.431648
18990522,29.166304
18990523,30.298976
18990524,30.298976
18990525,31.431648
18990526,30.298976
18990527,28.0902656
18990528,25.8815552
18990529,21.662352
18990530,23.7011616
18990531,19.963344
18990601,26.9859104
18990602,41.05936
18990603,33.98016
18990604,32.56432
18990605,33.98016
18990606,28.0902656
18990607,22.65344
18990608,19.11384
18990609,18.264336
18990610,33.98016
18990611,31.431648
18990612,28.0902656
18990613,70.508832
18990614,112.700864
18990615,150.928544
18990616,181.510688
18990617,155.7424
18990618,162.8216
18990619,139.318656
18990620,68.809824
18990621,43.89104
18990622,33.98016
18990623,26.9859104
18990624,22.65344
18990625,18.264336
18990626,17.414832
18990627,18.264336
18990628,17.414832
18990629,14.1584
18990630,14.1584
18990701,14.1584
18990702,14.1584
18990703,13.8185984
18990704,14.1584
18990705,13.8185984
18990706,12.176224
18990707,36.81184
18990708,28.0902656
18990709,22.65344
18990710,18.264336
18990711,19.11384
18990712,28.0902656
18990713,19.11384
18990714,17.414832
18990715,14.86632
18990716,14.1584
18990717,13.4787968
18990718,14.86632
18990719,17.414832
18990720,45.30688
18990721,36.81184
18990722,25.8815552
18990723,19.963344
18990724,16.565328
18990725,18.264336
18990726,29.166304
18990727,46.72272
18990728,98.542464
18990729,125.726592
18990730,132.522624
18990731,154.609728
18990801,167.635456
18990802,181.510688
18990803,158.007744
18990804,114.966208
18990805,72.20784
18990806,56.067264
18990807,48.13856
18990808,43.89104
18990809,56.067264
18990810,62.29696
18990811,45.30688
18990812,35.396
18990813,29.166304
