NSCE  Elapsed_Time  RainFact    Ksat    WM    B    IM    KE    coeM    expM    coeR    coeS    KS    KI  
-2.981845e-01:  28.6406   0.991803  128.877925  452.145172  4.245815  0.985299  0.616482  70.471424  0.820464  0.668617  3.140140  0.386493  2.830256 
-3.253865e-01:  29.5000   0.832225  45.282307  283.912848  4.810691  0.824071  0.616025  43.227584  0.943874  1.449988  2.947805  0.229793  3.196293 
-3.969051e-01:  27.1094   1.200564  192.732818  423.231537  4.089932  1.557024  1.331413  32.997758  0.596971  0.946314  0.883951  1.248174  0.713867 
-4.887824e-01:  27.6875   0.672147  47.475177  92.440620  0.686838  0.203396  0.260919  46.323960  0.391154  0.693564  0.988918  1.731199  0.146329 
-4.808449e+00:  27.0469   1.169768  34.291528  49.503247  4.486414  2.371660  1.266804  72.797870  0.821368  0.730346  1.870591  1.993450  3.160625 
-7.908387e-01:  26.7969   0.694099  142.710081  141.075257  5.953703  2.783910  0.772990  105.801822  0.836508  0.932194  1.685105  1.863643  1.100528 
-2.219149e-01:  27.2031   1.325295  90.337569  491.841552  5.091261  1.180733  0.441996  76.227372  0.585076  1.386348  1.625506  1.107558  0.381181 
-6.560543e-01:  26.7656   1.035252  42.522893  460.957615  4.224377  1.683836  1.019618  82.445072  0.278697  1.344852  1.373632  1.215909  3.292966 
-4.332576e-01:  28.7188   0.681576  182.268821  274.637711  4.112297  2.126819  0.113128  134.323486  0.756745  0.933284  0.067514  1.191914  1.906479 
-1.428346e+00:  29.0156   1.249789  95.075702  476.002970  5.367903  2.246648  0.937103  106.829123  1.004935  0.704481  3.012462  1.707009  1.394488 
-8.351330e-01:  27.9844   0.798493  76.317174  141.912420  2.153219  3.811155  0.691206  58.078237  0.844232  1.219495  2.982301  1.229967  2.215649 
-4.706800e-01:  27.8281   0.665694  17.748245  302.034674  5.748384  0.781922  0.700751  52.933156  0.800479  1.059833  1.769270  1.579424  2.909977 
-1.403081e+00:  28.0000   0.713195  102.751786  476.762929  5.290236  2.955785  0.119690  148.549949  0.744755  0.609157  2.216245  1.849240  3.405313 
-3.877736e-01:  27.2031   0.672057  136.270581  494.539538  1.804146  3.885549  0.632486  65.984491  1.092276  1.101296  2.156799  0.915335  2.599326 
-6.999313e-01:  27.4688   1.267168  117.653320  266.008045  2.674265  3.127327  0.795495  25.337278  0.881984  1.486740  1.150382  0.916273  0.989485 
-3.114834e-01:  28.0313   0.891078  45.346107  337.204113  4.969405  0.988753  0.682691  32.626365  0.813475  0.638352  0.761783  0.685223  1.625945 
-4.428709e-01:  27.8438   0.748276  71.027623  469.534480  3.589810  0.366792  0.387550  62.309358  0.467851  0.776198  0.472243  1.492655  1.272520 
-2.934647e-01:  28.2188   0.679124  69.255255  446.008157  5.133289  2.970921  0.147876  92.383897  1.079672  0.558163  1.572541  0.786748  3.774508 
-3.232512e-01:  27.2188   0.834131  131.066157  179.090738  2.983489  0.867844  1.158363  147.155387  0.539776  1.051032  2.818895  0.666711  1.217194 
-4.158344e-01:  27.3438   1.237687  7.903230  478.033690  5.306621  0.145804  1.007859  20.589994  0.322155  0.699700  0.181120  0.210964  1.689683 
-2.849856e-01:  27.5313   0.608536  6.582865  232.227125  4.571121  1.625372  1.288103  109.031656  0.356886  0.858469  2.692976  0.623983  0.788182 
-8.440606e-01:  28.2813   0.870973  103.216094  221.291539  2.828104  2.319800  0.350664  124.041669  0.879571  1.287321  3.149450  1.715703  1.469136 
-4.138468e-01:  28.6875   1.237646  178.893899  426.903941  3.739835  0.883974  0.416165  140.337535  0.742760  1.006149  3.055006  1.428793  1.125521 
-2.636552e-01:  27.8125   0.713580  87.760512  174.528581  3.601622  2.155805  0.880589  13.946278  0.862631  1.343759  2.714412  0.923603  0.548131 
-6.156906e-01:  27.2031   0.736306  111.925533  161.866724  0.658457  1.911565  1.453869  49.090742  0.436937  0.550035  0.779640  1.949390  1.932130 
-7.917236e-01:  27.9531   1.102972  94.441010  334.032589  3.083401  3.678584  0.369282  86.097984  0.803785  1.435441  1.162566  0.974675  0.615326 
-1.339742e+00:  27.7813   1.249545  155.057221  65.720172  2.523310  3.459615  1.130428  140.810055  0.517816  1.456666  2.588286  0.741391  3.564597 
-3.711803e-01:  27.3750   0.710479  51.712879  378.936220  2.469286  0.942552  0.508405  58.589261  0.241590  1.186060  0.281513  1.972944  0.351997 
-3.804749e-01:  26.6563   0.627895  15.361675  361.043389  5.091523  3.876239  1.359321  148.714774  0.802261  1.103941  3.207401  1.037154  0.676970 
-5.179302e-01:  28.8906   0.638168  189.668391  476.230823  2.818687  2.653605  0.300402  5.211437  0.994860  0.933959  2.216665  1.356978  3.870322 
The Initial Loop: 0 
BESTF  : 0.933484 
BESTX  : 1.005943  163.237487  452.855841  2.957072  3.092206  1.062847  104.955932  0.675341  1.421676  2.143394  0.071460  1.726543 
WORSTF : 5.808449 
WORSTX :  1.169768  34.291528  49.503247  4.486414  2.371660  1.266804  72.797870  0.821368  0.730346  1.870591  1.993450  3.160625 
-1.024258e-01:  39.3438   1.255391  126.352024  88.238222  5.430936  0.883442  1.235396  110.776428  0.636155  1.349362  1.674307  1.008872  0.148892 
-4.026191e-01:  39.5938   0.816004  169.905227  410.106214  4.080791  1.446811  0.728277  104.190744  0.968652  0.553839  0.667846  0.975220  2.706651 
-4.137740e-01:  39.7188   0.937676  156.257542  262.746687  5.237632  2.196473  0.925437  60.435736  1.035104  1.246151  2.875488  0.959285  1.807126 
-9.386190e-02:  40.0313   0.655247  90.679668  151.820580  5.796624  3.037238  0.411652  140.098096  0.734342  1.058907  2.186653  0.642535  0.334655 
-5.736647e-01:  36.2344   0.837422  20.942758  245.547609  4.992923  0.942733  1.065438  122.216540  0.696824  1.295946  3.193356  1.675930  3.917419 
-1.615890e-01:  36.5313   0.918037  22.734596  472.584030  5.792454  1.233840  0.626441  104.677862  0.635139  0.891594  0.317563  0.645283  0.008514 
-2.097101e-01:  36.0313   0.689027  72.412666  228.768680  1.281839  2.086954  1.159595  71.637268  0.394301  1.359482  0.141356  0.339456  2.906538 
-2.652291e-01:  37.1094   1.115012  56.157050  261.218438  3.711300  0.831099  0.363976  9.307233  0.772659  1.180021  1.657985  0.479643  1.832300 
-3.079178e-01:  36.4219   1.097005  76.790567  181.120972  2.226452  2.268503  0.787031  104.942115  0.663368  0.781664  2.202789  0.683151  2.954385 
-4.163809e-01:  36.4531   1.142992  8.193670  323.364605  4.125177  1.201256  1.457841  45.817491  0.992411  0.501185  1.432704  1.148302  1.461038 
-1.580791e-01:  36.9063   1.303245  147.834836  196.454752  1.292545  1.039554  0.293362  78.660043  1.039664  1.130543  3.116732  0.319985  3.742538 
-5.193805e-01:  36.6406   1.254904  48.176508  294.497318  3.162190  0.160659  1.236901  33.739859  1.076166  0.797260  2.904957  1.523195  2.072670 
9.092264e-02:  37.1875   1.014609  119.991984  412.861039  0.822313  2.847451  0.191481  138.273673  0.873833  1.206763  1.818369  0.242882  3.568302 
-2.446666e-01:  36.9063   0.604089  114.040023  155.558004  2.615884  1.942976  0.213646  53.780052  0.546540  1.101471  1.045822  0.025424  1.325014 
-4.569529e-01:  36.5625   1.089798  36.120488  175.728460  0.738274  1.066069  1.112802  139.462520  0.305732  1.068284  2.762982  1.369780  3.218660 
-3.323343e-01:  38.3750   0.991284  191.142943  110.651367  0.648923  1.095480  0.760837  51.007834  0.934542  0.649886  0.082028  0.819005  1.863961 
-3.314919e-02:  36.0938   1.181291  130.609410  480.889148  1.418893  2.303403  1.485836  50.216118  0.214190  1.175651  1.609515  0.036719  3.700354 
